shape,shape_type,object,frame,xmin,xmax,ymin,ymax,points,timestep,area,xcenter,ycenter,height,proj,y,color,color_bremm,color_schumann_urban,color_steiger,color_teuling,color_ziegler,style
"[[313, 0.14109579213996296], [313.2, 0.20163686769258585], [313.8, 0.20163686769258585], [313.8, 0.08055471658734006], [313.2, 0.08055471658734006], [313, 0.14109579213996296]]",rect,80,1565,232,356,244,611,"[[232, 244], [356, 244], [356, 611], [232, 611], [232, 244]]",313.0,45508,294.0,427.5,0.1210821511052458,0.12877173350907126,0.14109579213996296,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[200, 106, 59]","[30, 73, 128]","[241, 104, 119]","[140, 204, 183]","[245, 62, 27]",solid
"[[399.2, 0.5259134904199732], [399.8, 0.5259134904199732], [400, 0.4974362498627207], [399.8, 0.46895900930546824], [399.2, 0.46895900930546824], [399.2, 0.5259134904199732]]",rect,80,1995,898,975,169,447,"[[898, 169], [975, 169], [975, 447], [898, 447], [898, 169]]",399.0,21406,936.5,308.0,0.056954481114504955,0.47089245074807845,0.4974362498627207,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[206, 95, 128]","[120, 41, 128]","[197, 76, 175]","[188, 175, 109]","[151, 32, 144]",solid
"[[314.2, 0.2908338067002822], [314.8, 0.2908338067002822], [314.8, 0.19432302031018417], [314.2, 0.19432302031018417], [314.2, 0.2908338067002822]]",rect,80,1570,454,561,220,559,"[[454, 220], [561, 220], [561, 559], [454, 559], [454, 220]]",314.0,36273,507.5,389.5,0.09651078639009802,0.24257841350523318,0.24257841350523318,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[203, 103, 83]","[60, 63, 128]","[228, 96, 138]","[155, 194, 158]","[231, 48, 55]",solid
"[[315.2, 0.33604773358534484], [315.8, 0.33604773358534484], [315.8, 0.25313035296998315], [315.2, 0.25313035296998315], [315.2, 0.33604773358534484]]",rect,80,1575,557,655,206,524,"[[557, 206], [655, 206], [655, 524], [557, 524], [557, 206]]",315.0,31164,606.0,365.0,0.08291738061536169,0.294589043277664,0.294589043277664,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[205, 100, 94]","[74, 56, 128]","[222, 90, 147]","[164, 190, 146]","[214, 43, 75]",solid
"[[316.2, 0.36146312025815186], [316.8, 0.36146312025815186], [316.8, 0.2865597028828578], [316.2, 0.2865597028828578], [316.2, 0.36146312025815186]]",rect,80,1580,616,708,196,502,"[[616, 196], [708, 196], [708, 502], [616, 502], [616, 196]]",316.0,28152,662.0,349.0,0.074903417375294,0.32401141157050484,0.32401141157050484,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[207, 98, 100]","[82, 52, 128]","[218, 86, 152]","[169, 189, 139]","[202, 40, 88]",solid
"[[317.2, 0.3666518488129526], [317.8, 0.3666518488129526], [317.8, 0.296795738299016], [317.2, 0.296795738299016], [317.2, 0.3666518488129526]]",rect,80,1585,633,722,191,486,"[[633, 191], [722, 191], [722, 486], [633, 486], [633, 191]]",317.0,26255,677.5,338.5,0.06985611051393663,0.3317237935559843,0.3317237935559843,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[208, 97, 101]","[84, 49, 128]","[217, 83, 154]","[172, 189, 137]","[199, 38, 90]",solid
"[[318.2, 0.3666518488129526], [318.8, 0.3666518488129526], [318.8, 0.296795738299016], [318.2, 0.296795738299016], [318.2, 0.3666518488129526]]",rect,80,1590,633,722,191,486,"[[633, 191], [722, 191], [722, 486], [633, 486], [633, 191]]",318.0,26255,677.5,338.5,0.06985611051393663,0.3317237935559843,0.3317237935559843,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[208, 97, 101]","[84, 49, 128]","[217, 83, 154]","[172, 189, 137]","[199, 38, 90]",solid
"[[319.2, 0.38204560125352655], [319.8, 0.38204560125352655], [319.8, 0.31445372802952937], [319.2, 0.31445372802952937], [319.2, 0.38204560125352655]]",rect,80,1595,665,752,187,479,"[[665, 187], [752, 187], [752, 479], [665, 479], [665, 187]]",319.0,25404,708.5,333.0,0.06759187322399719,0.34824966464152796,0.34824966464152796,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[208, 97, 104]","[88, 48, 128]","[214, 82, 157]","[174, 187, 134]","[192, 37, 97]",solid
"[[320.2, 0.3882822494366025], [320.8, 0.3882822494366025], [320.8, 0.3223825676537352], [320.2, 0.3223825676537352], [320.2, 0.3882822494366025]]",rect,80,1600,679,765,185,473,"[[679, 185], [765, 185], [765, 473], [679, 473], [679, 185]]",320.0,24768,722.0,329.0,0.06589968178286736,0.35533240854516884,0.35533240854516884,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[208, 96, 105]","[90, 47, 128]","[213, 81, 158]","[175, 187, 132]","[190, 36, 99]",solid
"[[321.2, 0.3791658604645465], [321.8, 0.3791658604645465], [321.8, 0.31180546625843975], [321.2, 0.31180546625843975], [321.2, 0.3791658604645465]]",rect,80,1605,660,747,187,478,"[[660, 187], [747, 187], [747, 478], [660, 478], [660, 187]]",321.0,25317,703.5,332.5,0.06736039420610679,0.3454856633614931,0.3454856633614931,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[208, 97, 104]","[87, 48, 128]","[215, 82, 156]","[174, 188, 134]","[194, 37, 96]",solid
