shape,shape_type,object,frame,xmin,xmax,ymin,ymax,points,timestep,area,xcenter,ycenter,height,proj,y,color,color_bremm,color_schumann_urban,color_steiger,color_teuling,color_ziegler,style
"[[0, 0.56281421647385], [0.2, 0.5759230152195178], [0.8, 0.5759230152195178], [0.8, 0.5497054177281822], [0.2, 0.5497054177281822], [0, 0.56281421647385]]",rect,16,0,1065,1105,101,254,"[[1065, 101], [1105, 101], [1105, 254], [1065, 254], [1065, 101]]",0.0,6120,1085.0,177.5,0.02621759749133577,0.56281421647385,0.56281421647385,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[225, 74, 143]","[139, 3, 128]","[181, 28, 192]","[221, 184, 84]","[114, 1, 139]",solid
"[[329.2, 0.5999984852943119], [329.8, 0.5999984852943119], [330, 0.5877186252928553], [329.8, 0.5754387652913988], [329.2, 0.5754387652913988], [329.2, 0.5999984852943119]]",rect,16,1645,1051,1090,99,246,"[[1051, 99], [1090, 99], [1090, 246], [1051, 246], [1051, 99]]",329.0,5733,1070.5,172.5,0.024559720002913066,0.5552218789667689,0.5877186252928553,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[227, 72, 141]","[137, 0, 128]","[182, 22, 191]","[222, 186, 85]","[116, 0, 136]",solid
"[[1.2, 0.577034504119578], [1.8, 0.577034504119578], [1.8, 0.5508169066282423], [1.2, 0.5508169066282423], [1.2, 0.577034504119578]]",rect,16,5,1067,1107,101,254,"[[1067, 101], [1107, 101], [1107, 254], [1067, 254], [1067, 101]]",1.0,6120,1087.0,177.5,0.02621759749133577,0.5639257053739102,0.5639257053739102,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[225, 74, 143]","[140, 3, 128]","[181, 28, 192]","[221, 184, 84]","[113, 1, 139]",solid
"[[2.2, 0.577034504119578], [2.8, 0.577034504119578], [2.8, 0.5508169066282423], [2.2, 0.5508169066282423], [2.2, 0.577034504119578]]",rect,16,10,1067,1107,101,254,"[[1067, 101], [1107, 101], [1107, 254], [1067, 254], [1067, 101]]",2.0,6120,1087.0,177.5,0.02621759749133577,0.5639257053739102,0.5639257053739102,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[225, 74, 143]","[140, 3, 128]","[181, 28, 192]","[221, 184, 84]","[113, 1, 139]",solid
"[[3.2, 0.5804080535410979], [3.8, 0.5804080535410979], [3.8, 0.5540190992034136], [3.2, 0.5540190992034136], [3.2, 0.5804080535410979]]",rect,16,15,1073,1113,101,255,"[[1073, 101], [1113, 101], [1113, 255], [1073, 255], [1073, 101]]",3.0,6160,1093.0,178.0,0.02638895433768437,0.5672135763722558,0.5672135763722558,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[225, 75, 143]","[140, 3, 128]","[180, 29, 192]","[221, 183, 83]","[113, 2, 140]",solid
"[[4.2, 0.5787928098952133], [4.8, 0.5787928098952133], [4.8, 0.5517441316990868], [4.2, 0.5517441316990868], [4.2, 0.5787928098952133]]",rect,16,20,1069,1110,101,255,"[[1069, 101], [1110, 101], [1110, 255], [1069, 255], [1069, 101]]",4.0,6314,1089.5,178.0,0.02704867819612648,0.56526847079715,0.56526847079715,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[225, 74, 143]","[140, 3, 128]","[181, 29, 192]","[221, 184, 84]","[113, 2, 139]",solid
"[[5.2, 0.580460043245304], [5.8, 0.580460043245304], [5.8, 0.5534113650491774], [5.2, 0.5534113650491774], [5.2, 0.580460043245304]]",rect,16,25,1072,1113,101,255,"[[1072, 101], [1113, 101], [1113, 255], [1072, 255], [1072, 101]]",5.0,6314,1092.5,178.0,0.02704867819612648,0.5669357041472407,0.5669357041472407,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[225, 75, 143]","[140, 3, 128]","[180, 29, 192]","[221, 183, 83]","[113, 2, 140]",solid
"[[6.2, 0.5780918843373055], [6.8, 0.5780918843373055], [6.8, 0.5517029299996212], [6.2, 0.5517029299996212], [6.2, 0.5780918843373055]]",rect,16,30,1069,1109,102,256,"[[1069, 102], [1109, 102], [1109, 256], [1069, 256], [1069, 102]]",6.0,6160,1089.0,179.0,0.02638895433768437,0.5648974071684634,0.5648974071684634,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[225, 75, 143]","[140, 4, 128]","[181, 30, 192]","[220, 183, 84]","[114, 2, 140]",solid
"[[7.2, 0.5909671980916723], [7.8, 0.5909671980916723], [7.8, 0.564578243753988], [7.2, 0.564578243753988], [7.2, 0.5909671980916723]]",rect,16,35,1092,1132,101,255,"[[1092, 101], [1132, 101], [1132, 255], [1092, 255], [1092, 101]]",7.0,6160,1112.0,178.0,0.02638895433768437,0.5777727209228302,0.5777727209228302,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[224, 75, 145]","[143, 3, 128]","[178, 29, 194]","[222, 182, 81]","[109, 2, 142]",solid
"[[8.2, 0.5909671980916723], [8.8, 0.5909671980916723], [8.8, 0.564578243753988], [8.2, 0.564578243753988], [8.2, 0.5909671980916723]]",rect,16,40,1092,1132,101,255,"[[1092, 101], [1132, 101], [1132, 255], [1092, 255], [1092, 101]]",8.0,6160,1112.0,178.0,0.02638895433768437,0.5777727209228302,0.5777727209228302,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[224, 75, 145]","[143, 3, 128]","[178, 29, 194]","[222, 182, 81]","[109, 2, 142]",solid
"[[9.2, 0.5909671980916723], [9.8, 0.5909671980916723], [9.8, 0.564578243753988], [9.2, 0.564578243753988], [9.2, 0.5909671980916723]]",rect,16,45,1092,1132,101,255,"[[1092, 101], [1132, 101], [1132, 255], [1092, 255], [1092, 101]]",9.0,6160,1112.0,178.0,0.02638895433768437,0.5777727209228302,0.5777727209228302,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[224, 75, 145]","[143, 3, 128]","[178, 29, 194]","[222, 182, 81]","[109, 2, 142]",solid
"[[10.2, 0.5893390474629201], [10.8, 0.5893390474629201], [10.8, 0.5627787362788872], [10.2, 0.5627787362788872], [10.2, 0.5893390474629201]]",rect,16,50,1089,1129,101,256,"[[1089, 101], [1129, 101], [1129, 256], [1089, 256], [1089, 101]]",10.0,6200,1109.0,178.5,0.02656031118403297,0.5760588918709036,0.5760588918709036,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[224, 75, 145]","[142, 3, 128]","[179, 29, 193]","[221, 182, 82]","[110, 2, 141]",solid
"[[11.2, 0.5893390474629201], [11.8, 0.5893390474629201], [11.8, 0.5627787362788872], [11.2, 0.5627787362788872], [11.2, 0.5893390474629201]]",rect,16,55,1089,1129,101,256,"[[1089, 101], [1129, 101], [1129, 256], [1089, 256], [1089, 101]]",11.0,6200,1109.0,178.5,0.02656031118403297,0.5760588918709036,0.5760588918709036,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[224, 75, 145]","[142, 3, 128]","[179, 29, 193]","[221, 182, 82]","[110, 2, 141]",solid
"[[12.2, 0.5927667055667729], [12.8, 0.5927667055667729], [12.8, 0.56620639438274], [12.2, 0.56620639438274], [12.2, 0.5927667055667729]]",rect,16,60,1095,1135,100,255,"[[1095, 100], [1135, 100], [1135, 255], [1095, 255], [1095, 100]]",12.0,6200,1115.0,177.5,0.02656031118403297,0.5794865499747565,0.5794865499747565,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[224, 74, 146]","[143, 3, 128]","[178, 28, 194]","[222, 182, 81]","[108, 1, 142]",solid
"[[13.2, 0.5944339389168636], [13.8, 0.5944339389168636], [13.8, 0.5678736277328307], [13.2, 0.5678736277328307], [13.2, 0.5944339389168636]]",rect,16,65,1098,1138,100,255,"[[1098, 100], [1138, 100], [1138, 255], [1098, 255], [1098, 100]]",13.0,6200,1118.0,177.5,0.02656031118403297,0.5811537833248471,0.5811537833248471,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[224, 74, 146]","[143, 3, 128]","[178, 28, 194]","[222, 182, 81]","[108, 1, 142]",solid
"[[14.2, 0.595545427816924], [14.8, 0.595545427816924], [14.8, 0.5689851166328911], [14.2, 0.5689851166328911], [14.2, 0.595545427816924]]",rect,16,70,1100,1140,100,255,"[[1100, 100], [1140, 100], [1140, 255], [1100, 255], [1100, 100]]",14.0,6200,1120.0,177.5,0.02656031118403297,0.5822652722249075,0.5822652722249075,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[224, 74, 146]","[144, 3, 128]","[178, 29, 194]","[222, 182, 80]","[108, 1, 142]",solid
"[[15.2, 0.5966178339956459], [15.8, 0.5966178339956459], [15.8, 0.5702288796579617], [15.2, 0.5702288796579617], [15.2, 0.5966178339956459]]",rect,16,75,1102,1142,100,254,"[[1102, 100], [1142, 100], [1142, 254], [1102, 254], [1102, 100]]",15.0,6160,1122.0,177.0,0.02638895433768437,0.5834233568268038,0.5834233568268038,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[224, 74, 147]","[144, 2, 128]","[177, 28, 195]","[223, 182, 80]","[107, 1, 142]",solid
"[[16.2, 0.595545427816924], [16.8, 0.595545427816924], [16.8, 0.5689851166328911], [16.2, 0.5689851166328911], [16.2, 0.595545427816924]]",rect,16,80,1100,1140,100,255,"[[1100, 100], [1140, 100], [1140, 255], [1100, 255], [1100, 100]]",16.0,6200,1120.0,177.5,0.02656031118403297,0.5822652722249075,0.5822652722249075,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[224, 74, 146]","[144, 3, 128]","[178, 29, 194]","[222, 182, 80]","[108, 1, 142]",solid
"[[17.2, 0.5966569167169845], [17.8, 0.5966569167169845], [17.8, 0.5700966055329516], [17.2, 0.5700966055329516], [17.2, 0.5966569167169845]]",rect,16,85,1102,1142,100,255,"[[1102, 100], [1142, 100], [1142, 255], [1102, 255], [1102, 100]]",17.0,6200,1122.0,177.5,0.02656031118403297,0.5833767611249681,0.5833767611249681,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[224, 74, 147]","[144, 3, 128]","[177, 29, 194]","[222, 181, 80]","[107, 1, 142]",solid
"[[18.2, 0.5949896833668938], [18.8, 0.5949896833668938], [18.8, 0.5684293721828609], [18.2, 0.5684293721828609], [18.2, 0.5949896833668938]]",rect,16,90,1099,1139,100,255,"[[1099, 100], [1139, 100], [1139, 255], [1099, 255], [1099, 100]]",18.0,6200,1119.0,177.5,0.02656031118403297,0.5817095277748774,0.5817095277748774,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[224, 74, 146]","[144, 3, 128]","[178, 29, 194]","[222, 182, 80]","[108, 1, 142]",solid
"[[19.2, 0.5949896833668938], [19.8, 0.5949896833668938], [19.8, 0.5684293721828609], [19.2, 0.5684293721828609], [19.2, 0.5949896833668938]]",rect,16,95,1099,1139,100,255,"[[1099, 100], [1139, 100], [1139, 255], [1099, 255], [1099, 100]]",19.0,6200,1119.0,177.5,0.02656031118403297,0.5817095277748774,0.5817095277748774,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[224, 74, 146]","[144, 3, 128]","[178, 29, 194]","[222, 182, 80]","[108, 1, 142]",solid
"[[20.2, 0.6005862105885347], [20.8, 0.6005862105885347], [20.8, 0.5738545425581532], [20.2, 0.5738545425581532], [20.2, 0.6005862105885347]]",rect,16,100,1109,1149,100,256,"[[1109, 100], [1149, 100], [1149, 256], [1109, 256], [1109, 100]]",20.0,6240,1129.0,178.0,0.02673166803038157,0.5872203765733439,0.5872203765733439,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[224, 75, 147]","[145, 3, 128]","[177, 30, 195]","[222, 181, 80]","[106, 2, 143]",solid
