object,frame,xmin,xmax,ymin,ymax,points,timestep,area,xcenter,ycenter
122,0,1523,1756,351,1044,"[[1523, 351], [1756, 351], [1756, 1044], [1523, 1044], [1523, 351]]",0,161469,1639.5,697.5
25,0,1306,1352,100,274,"[[1306, 100], [1352, 100], [1352, 274], [1306, 274], [1306, 100]]",0,8004,1329.0,187.0
26,0,1005,1042,98,240,"[[1005, 98], [1042, 98], [1042, 240], [1005, 240], [1005, 98]]",0,5254,1023.5,169.0
33,0,1478,1540,109,318,"[[1478, 109], [1540, 109], [1540, 318], [1478, 318], [1478, 109]]",0,12958,1509.0,213.5
5,0,216,366,282,723,"[[216, 282], [366, 282], [366, 723], [216, 723], [216, 282]]",0,66150,291.0,502.5
28,0,1013,1051,99,244,"[[1013, 99], [1051, 99], [1051, 244], [1013, 244], [1013, 99]]",0,5510,1032.0,171.5
23,0,1529,1801,402,1191,"[[1529, 402], [1801, 402], [1801, 1191], [1529, 1191], [1529, 402]]",0,214608,1665.0,796.5
1,0,1468,1555,147,436,"[[1468, 147], [1555, 147], [1555, 436], [1468, 436], [1468, 147]]",0,25143,1511.5,291.5
34,0,1575,1645,109,331,"[[1575, 109], [1645, 109], [1645, 331], [1575, 331], [1575, 109]]",0,15540,1610.0,220.0
31,0,50,108,156,324,"[[50, 156], [108, 156], [108, 324], [50, 324], [50, 156]]",0,9744,79.0,240.0
12,0,556,752,362,988,"[[556, 362], [752, 362], [752, 988], [556, 988], [556, 362]]",0,122696,654.0,675.0
247,0,1050,1205,314,891,"[[1050, 314], [1205, 314], [1205, 891], [1050, 891], [1050, 314]]",0,89435,1127.5,602.5
24,0,1893,1920,699,1280,"[[1893, 699], [1920, 699], [1920, 1280], [1893, 1280], [1893, 699]]",0,15687,1906.5,989.5
9,0,307,365,149,327,"[[307, 149], [365, 149], [365, 327], [307, 327], [307, 149]]",0,10324,336.0,238.0
16,0,1065,1105,101,254,"[[1065, 101], [1105, 101], [1105, 254], [1065, 254], [1065, 101]]",0,6120,1085.0,177.5
8,0,295,357,154,342,"[[295, 154], [357, 154], [357, 342], [295, 342], [295, 154]]",0,11656,326.0,248.0
29,0,1106,1145,97,246,"[[1106, 97], [1145, 97], [1145, 246], [1106, 246], [1106, 97]]",0,5811,1125.5,171.5
3,0,1084,1155,157,428,"[[1084, 157], [1155, 157], [1155, 428], [1084, 428], [1084, 157]]",0,19241,1119.5,292.5
15,0,1505,1711,318,945,"[[1505, 318], [1711, 318], [1711, 945], [1505, 945], [1505, 318]]",0,129162,1608.0,631.5
4,0,943,1020,168,448,"[[943, 168], [1020, 168], [1020, 448], [943, 448], [943, 168]]",0,21560,981.5,308.0
0,0,1520,1612,149,447,"[[1520, 149], [1612, 149], [1612, 447], [1520, 447], [1520, 149]]",0,27416,1566.0,298.0
7,0,354,417,154,346,"[[354, 154], [417, 154], [417, 346], [354, 346], [354, 154]]",0,12096,385.5,250.0
13,0,485,715,414,1132,"[[485, 414], [715, 414], [715, 1132], [485, 1132], [485, 414]]",0,165140,600.0,773.0
32,0,929,965,97,227,"[[929, 97], [965, 97], [965, 227], [929, 227], [929, 97]]",0,4680,947.0,162.0
21,0,1321,1628,518,1280,"[[1321, 518], [1628, 518], [1628, 1280], [1321, 1280], [1321, 518]]",0,233934,1474.5,899.0
17,0,1263,1382,235,679,"[[1263, 235], [1382, 235], [1382, 679], [1263, 679], [1263, 235]]",0,52836,1322.5,457.0
4,5,899,971,161,423,"[[899, 161], [971, 161], [971, 423], [899, 423], [899, 161]]",1,18864,935.0,292.0
12,5,726,914,358,991,"[[726, 358], [914, 358], [914, 991], [726, 991], [726, 358]]",1,119004,820.0,674.5
25,5,1278,1322,99,269,"[[1278, 99], [1322, 99], [1322, 269], [1278, 269], [1278, 99]]",1,7480,1300.0,184.0
33,5,1478,1540,109,318,"[[1478, 109], [1540, 109], [1540, 318], [1478, 318], [1478, 109]]",1,12958,1509.0,213.5
21,5,1299,1604,523,1280,"[[1299, 523], [1604, 523], [1604, 1280], [1299, 1280], [1299, 523]]",1,230885,1451.5,901.5
1,5,1468,1555,147,436,"[[1468, 147], [1555, 147], [1555, 436], [1468, 436], [1468, 147]]",1,25143,1511.5,291.5
3,5,1043,1111,151,406,"[[1043, 151], [1111, 151], [1111, 406], [1043, 406], [1043, 151]]",1,17340,1077.0,278.5
26,5,1000,1037,98,240,"[[1000, 98], [1037, 98], [1037, 240], [1000, 240], [1000, 98]]",1,5254,1018.5,169.0
0,5,1526,1618,149,446,"[[1526, 149], [1618, 149], [1618, 446], [1526, 446], [1526, 149]]",1,27324,1572.0,297.5
5,5,413,555,275,718,"[[413, 275], [555, 275], [555, 718], [413, 718], [413, 275]]",1,62906,484.0,496.5
15,5,1682,1920,322,977,"[[1682, 322], [1920, 322], [1920, 977], [1682, 977], [1682, 322]]",1,155890,1801.0,649.5
13,5,621,854,427,1181,"[[621, 427], [854, 427], [854, 1181], [621, 1181], [621, 427]]",1,175682,737.5,804.0
7,5,390,449,148,334,"[[390, 148], [449, 148], [449, 334], [390, 334], [390, 148]]",1,10974,419.5,241.0
23,5,1537,1812,404,1198,"[[1537, 404], [1812, 404], [1812, 1198], [1537, 1198], [1537, 404]]",1,218350,1674.5,801.0
8,5,329,388,150,331,"[[329, 150], [388, 150], [388, 331], [329, 331], [329, 150]]",1,10679,358.5,240.5
122,5,1687,1920,350,1056,"[[1687, 350], [1920, 350], [1920, 1056], [1687, 1056], [1687, 350]]",1,164498,1803.5,703.0
32,5,929,965,97,227,"[[929, 97], [965, 97], [965, 227], [929, 227], [929, 97]]",1,4680,947.0,162.0
34,5,1577,1647,109,330,"[[1577, 109], [1647, 109], [1647, 330], [1577, 330], [1577, 109]]",1,15470,1612.0,219.5
16,5,1067,1107,101,254,"[[1067, 101], [1107, 101], [1107, 254], [1067, 254], [1067, 101]]",1,6120,1087.0,177.5
17,5,1482,1621,225,670,"[[1482, 225], [1621, 225], [1621, 670], [1482, 670], [1482, 225]]",1,61855,1551.5,447.5
247,5,1135,1285,303,868,"[[1135, 303], [1285, 303], [1285, 868], [1135, 868], [1135, 303]]",1,84750,1210.0,585.5
28,5,1057,1094,97,240,"[[1057, 97], [1094, 97], [1094, 240], [1057, 240], [1057, 97]]",1,5291,1075.5,168.5
9,5,334,390,145,319,"[[334, 145], [390, 145], [390, 319], [334, 319], [334, 145]]",1,9744,362.0,232.0
1,10,1474,1561,147,435,"[[1474, 147], [1561, 147], [1561, 435], [1474, 435], [1474, 147]]",2,25056,1517.5,291.0
